color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Paze23,Epic,ae2b60f4952044e9b4693ee4ab20b7b7,4284,Fennec,373,630,2,0,3,3,11,5,2,66.67,262,52.14,1585,1024,561,13,52,284,200,84,2,7,23.06,43.16,222,309,0,1215,404371,253.18,69.47,95.57,26.22,15.7,4.31,264.98,72.7,94.45,25.92,5.03,1.38,0.79,0.26,3,180,179.5,2083,1999,2128,2564,261.38,71.72,103.07,28.28,274.22,75.24,90.23,24.76,216.44,59.39,103.38,28.37,44.63,12.25,0,2,bronze
blue,troy58_79,PS4,troy58_79,23,Octane,373,314,0,2,2,1,11,5,3,0,381,48.61,2155,1846,309,21,27,171,100,71,1,6,42.54,54.95,509,226,0,1380,453984,190.58,51.92,146.29,39.86,30.16,8.22,228.06,62.13,123.98,33.78,15,4.09,0.52,0.52,1,192.8,182.2,2146,2050,2241,2564,229.3,62.47,137.74,37.53,282.38,76.94,84.65,23.06,217.73,59.32,106.48,29.01,42.83,11.67,0,1,bronze
orange,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,373,889,4,1,2,9,4,2,2,44.44,372,43.33,2194,1693,501,18,45,590,333,257,4,23,61.46,37.91,348,124,66,1333,456291,209.49,56.54,133.01,35.9,28.01,7.56,211.96,57.21,145.32,39.22,13.23,3.57,4.36,0.11,38,156.1,192.6,2196,1679,2875,2980,285.94,77.17,84.57,22.83,184.04,49.67,186.46,50.33,127.21,34.33,113.45,30.62,129.84,35.04,2,0,bronze
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,373,258,1,1,0,2,4,2,0,50,253,35.44,1402,526,876,7,76,393,69,324,1,27,38.69,17.08,148,173,30,1410,480321,210.19,56.67,128.26,34.58,32.48,8.76,233.35,62.91,135.01,36.4,2.57,0.69,11.58,0.18,66,192.5,155.5,2670,2765,2541,2980,275.41,74.25,95.52,25.75,197.91,53.36,173.01,46.64,145.44,39.21,111.82,30.15,113.67,30.64,1,0,bronze
blue,Madarathegod270,XBox,6abb04f4fe010900,4284,Fennec,391,780,2,0,3,4,12,6,6,50,396,48.17,2485,1902,583,24,50,481,223,258,3,23,39.32,30.61,360,498,76,1451,496572,205.75,53.05,136.4,35.17,45.66,11.77,234.74,60.53,144,37.13,9.08,2.34,4.51,0.27,17,353.2,351.1,1951,1351,2395,5423,242.06,62.42,145.75,37.58,231.54,59.7,156.27,40.3,177.11,45.67,102.3,26.38,108.4,27.95,0,1,bronze
blue,lxstomania,Epic,83946706c682428c9a1633419ba94952,4284,Fennec,391,2,0,0,0,0,12,6,0,0,263,55.25,96,84,12,1,1,0,0,0,0,0,0,2.27,0,15,0,1251,15490,12.4,76.21,1.82,11.19,2.05,12.6,10.33,63.49,3.74,22.99,2.2,13.52,0.14,0.14,1,5,7.3,3273,773,3835,5423,11.86,72.89,4.41,27.11,8.93,54.89,7.34,45.11,7.79,47.85,2.41,14.8,6.08,37.35,0,0,bronze
orange,BOB0S11,Epic,24ab890b9efa465899da75027c4a9d42,4284,Fennec,391,941,4,1,2,8,4,2,2,50,307,55.52,1935,1296,639,18,58,513,200,313,2,27,23.7,45.32,220,536,5,1309,455747,239.81,61.37,126.45,32.36,24.52,6.27,249.65,63.89,126.72,32.43,14.41,3.69,5.8,0.12,48,212.6,161,1929,1863,2044,2491,301.18,77.07,89.6,22.93,227.95,58.33,162.83,41.67,175.79,44.98,100.5,25.72,114.49,29.3,1,0,bronze
orange,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,391,456,2,2,0,4,4,2,0,50,193,49.08,1284,683,601,10,52,371,115,256,2,22,24.11,41.91,156,199,87,1199,418199,275.93,70.66,100.77,25.81,13.8,3.53,295.58,75.69,92.54,23.7,2.38,0.61,4.25,0.13,32,165.2,206.7,2368,2405,2331,2491,277.98,71.19,112.52,28.81,209.64,53.69,180.86,46.31,141.55,36.25,132.76,34,116.19,29.75,0,0,bronze
blue,SmartKoala22857,XBox,16de30f8f7010900,24,Paladin,370,597,4,0,0,4,5,2,1,100,206,47.62,1259,843,416,11,35,109,0,109,0,9,29.54,75.56,399,260,0,1160,381206,261.8,71.83,80.99,22.22,21.68,5.95,262.73,72.09,90.81,24.92,10.92,3,8.99,0.6,15,171.6,183.5,1837,1532,2245,2005,259,71.06,105.47,28.94,221.65,60.82,142.81,39.18,149.64,41.06,122.37,33.57,92.46,25.37,0,1,bronze
blue,Al0t4,Epic,75f3455f2cae4d6ba27e4b0bfe80e34f,4284,Fennec,370,406,1,1,1,5,5,2,1,20,352,46.13,2306,1739,567,22,49,471,246,225,5,19,42.58,33.22,238,400,230,1420,471656,195.7,52.87,130.41,35.23,44.06,11.9,198.71,53.68,159.97,43.22,11.49,3.1,0.69,0.1,7,186.5,181.7,2246,2195,2313,2005,265.16,71.63,105.01,28.37,225.89,61.02,144.28,38.98,171.22,46.25,100.04,27.03,98.91,26.72,3,0,bronze
orange,carrlx9_,PS4,carrlx9_,4284,Fennec,370,690,2,0,3,4,9,5,4,50,412,48.34,2311,1997,314,26,28,272,176,96,2,8,75.64,69.73,561,611,23,1456,480991,186.11,51.62,133.37,36.99,41.05,11.39,229.42,63.63,126.58,35.11,4.53,1.26,0,0,0,296.2,241.2,2468,1971,2841,3342,268.25,74.4,92.28,25.6,254.77,70.67,105.76,29.33,197.41,54.76,109.04,30.24,54.08,15,1,3,bronze
orange,EvansinFBI29,XBox,ea5d312cf8010900,23,Octane,370,28,0,0,0,1,9,5,1,0,182,59.81,574,347,227,5,22,94,0,94,0,8,13.96,21.34,0,169,0,1159,174151,110.32,67.64,52.65,32.28,0.12,0.07,114.8,70.39,48.3,29.61,0,0,1.8,0.6,3,58.2,102.4,2944,2482,3203,3342,102.29,62.72,60.81,37.28,101.12,62,61.97,38,73.42,45.02,55.98,34.32,33.69,20.66,0,0,bronze
blue,Geo_1411,PS4,Geo_1411,23,Octane,151,427,3,1,0,2,0,0,0,150,343,52.57,888,632,256,8,23,105,0,105,0,9,15.17,18.22,80,188,3,1364,179869,81.27,53.94,57.72,38.31,11.69,7.76,89.84,59.62,58.42,38.77,2.43,1.61,0.62,0.62,1,73.7,59.3,2711,2277,2870,2969,125.05,82.98,25.64,17.02,92.61,61.46,58.08,38.54,69.92,46.4,44.78,29.72,35.99,23.88,1,0,bronze
blue,samsonss13,PS4,samsonss13,4284,Fennec,151,342,2,1,0,2,0,0,0,100,435,43.01,907,787,120,9,10,227,167,60,2,5,24.31,22.89,268,80,0,1419,185388,80.24,53.14,57.75,38.25,13.01,8.62,98.14,65,47.74,31.62,5.11,3.38,0.74,0.74,1,58,78.3,2224,2168,2208,2969,128.36,85.01,22.64,14.99,88,58.28,63,41.72,65.93,43.66,44.62,29.55,40.45,26.79,0,0,bronze
