color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Sheebr,XBox,3902090700000900,403,Dominus,390,884,4,0,1,5,10,4,3,80,341,43.45,1959,1458,501,16,47,148,71,77,1,8,38.95,33.68,148,173,28,1422,486656,205.67,52.84,158.93,40.84,24.6,6.32,246.56,63.35,127.86,32.85,14.76,3.79,1.39,0.23,6,200.2,165.4,3020,2805,3243,3708,310.88,79.88,78.31,20.12,291.34,74.86,97.85,25.14,225.83,58.03,117.34,30.15,46.02,11.82,2,0,champion
blue,HomiE,Steam,76561198167303800,1894,Samurai,390,285,1,0,2,1,10,4,1,100,385,48.76,2772,2170,602,27,54,328,199,129,2,11,50.54,36.05,750,378,0,1558,535238,173.33,44.89,140.86,36.48,71.9,18.62,232.81,60.3,151.54,39.25,1.74,0.45,12.23,0.12,100,170.1,201,2915,2887,2912,3708,265.84,68.85,120.25,31.15,276.66,71.66,109.44,28.34,221.1,57.27,100.78,26.1,64.21,16.63,2,1,champion
orange,chiinzy,Steam,76561198277234281,4284,Fennec,390,549,3,0,0,5,6,5,1,60,471,51.73,2844,2150,694,25,54,559,250,309,3,20,46.11,30.12,367,368,57,1440,495066,199.36,52.31,150.29,39.43,31.46,8.25,240.91,63.21,127.15,33.36,13.06,3.43,9.1,0.13,70,182.8,184.2,2624,2328,2956,3583,264.71,69.46,116.41,30.54,237.06,62.2,144.06,37.8,176.09,46.2,120.97,31.74,84.06,22.06,0,2,champion
orange,hewiQz,Epic,15b56f3ebc6a4ebb99aabf18c774fdb3,23,Octane,390,531,1,1,1,5,6,5,4,20,475,50.39,2930,2315,615,27,60,369,175,194,2,18,56.19,25.15,464,374,28,1551,533001,167.15,44.01,152.85,40.24,59.8,15.75,227.44,59.88,140.18,36.91,12.18,3.21,7.16,0.1,73,185.4,178.2,2547,2196,2938,3583,265.93,70.02,113.86,29.98,229.97,60.55,149.82,39.45,173.89,45.79,107.4,28.28,98.5,25.94,1,2,champion
blue,Manteigas,Steam,76561198193811931,4284,Fennec,251,238,0,0,0,6,7,4,2,0,389,44.19,1485,1020,465,12,41,212,60,152,1,13,25.52,13.12,101,124,39,1481,344936,120.63,48.1,109,43.46,21.15,8.43,138.04,55.05,103.42,41.24,9.31,3.71,4.55,0.16,29,126.4,117.7,2473,2312,2567,3402,182.66,72.84,68.11,27.16,161.04,64.22,89.73,35.78,126.66,50.51,71.57,28.54,52.55,20.95,1,0,champion
blue,Engo,Steam,76561198151601218,23,Octane,251,120,0,0,1,1,7,4,2,0,384,51.94,1450,987,463,13,42,413,244,169,4,16,32.69,19.27,254,328,167,1448,338170,123.37,49.34,106.36,42.54,20.32,8.13,140.59,56.22,96.52,38.6,12.94,5.17,5.96,0.16,38,114.3,124.1,2737,2538,2857,3402,160.14,64.04,89.91,35.96,148.11,59.23,101.94,40.77,115.2,46.07,55.74,22.29,79.11,31.64,0,0,champion
orange,DUPETH_,Epic,a7eebe9a9e074ea09a47e6d9bf0907c0,22,Breakout,251,738,2,1,4,4,7,0,0,50,423,55.07,1748,1425,323,16,30,135,0,135,0,12,19.89,31.75,154,143,1,1429,338396,131.33,52.2,87.37,34.73,32.88,13.07,125.21,49.77,114.8,45.63,11.56,4.6,1.27,0.16,8,121.6,117.5,2260,2085,2446,3197,208.48,82.87,43.1,17.13,157.52,62.61,94.06,37.39,126.03,50.1,61.7,24.53,63.84,25.38,0,0,champion
orange,Dimouch,Steam,76561198094909605,23,Octane,251,641,2,2,3,3,7,0,0,66.67,291,54.5,1271,661,610,8,54,170,0,170,0,15,16.09,19.9,170,162,5,1464,342937,134.44,53.83,91.2,36.52,24.11,9.65,156.41,62.62,84.48,33.82,8.87,3.55,6,0.16,38,125.8,120.6,2843,2696,2863,3197,188.56,75.5,61.2,24.5,160.58,64.29,89.18,35.71,119.96,48.03,79.01,31.63,50.79,20.34,0,1,champion
blue,sahand-_-678,PS4,sahand-_-678,23,Octane,283,625,3,0,2,5,4,1,0,60,570,52.62,2496,2034,462,24,42,491,300,191,3,17,30.8,33.2,551,384,7,1599,411655,114.84,40.98,114.03,40.69,51.35,18.32,157.5,56.21,110.88,39.57,11.83,4.22,4.62,0.11,42,145.3,117.5,2399,2219,2575,3379,219.72,78.41,60.49,21.59,178.25,63.61,101.96,36.39,126.37,45.1,97.21,34.69,56.64,20.21,0,1,champion
blue,Thijmaldaddy-_-,PS4,Thijmaldaddy-_-,4284,Fennec,283,486,2,1,1,3,4,1,1,66.67,371,50.4,1794,1205,589,14,53,557,356,201,4,19,32.1,17.31,153,196,43,1596,410470,120.15,42.89,113.18,40.4,46.82,16.71,158.08,56.43,112.1,40.01,9.97,3.56,3.76,0.09,44,121.6,143.6,2571,2482,2744,3379,208.28,74.34,71.88,25.66,167.27,59.71,112.88,40.29,115.42,41.2,91.82,32.78,72.91,26.03,0,1,champion
