color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Maverick527552,PS4,Maverick527552,23,Octane,194,354,2,0,1,2,7,5,3,100,193,49.85,712,425,287,6,25,110,43,67,1,6,21.67,21.69,82,187,61,1250,203780,134.96,70.59,50.36,26.34,5.87,3.07,135.2,70.71,53.72,28.1,2.27,1.19,0.51,0.17,3,90.2,80.6,2396,2208,2526,2831,139.68,73.05,51.52,26.95,127.54,66.71,63.65,33.29,104.14,54.47,47.18,24.68,39.87,20.85,0,0,diamond
blue,Jaydakid31,PS4,Jaydakid31,4284,Fennec,194,162,0,1,1,0,7,5,1,0,361,54.11,1163,885,278,11,25,193,126,67,2,6,17.82,12.45,186,219,73,1428,238677,105.19,54.47,68.92,35.69,19,9.84,120.75,62.53,70.05,36.28,2.3,1.19,3.03,0.09,33,81.6,92.5,2458,2441,2331,2831,126.12,65.31,66.99,34.69,124.26,64.35,68.84,35.65,93.35,48.34,59.98,31.06,39.77,20.6,0,0,diamond
orange,J_LaP,Steam,76561198072564300,23,Octane,194,454,2,2,0,2,2,2,1,100,272,48.42,1083,778,305,10,28,142,16,126,1,11,26.08,33.8,116,237,83,1374,228268,117.25,60.84,67.27,34.91,8.19,4.25,133.52,69.29,59.15,30.69,0.04,0.02,2.48,0.08,31,86.9,82.5,2660,2733,2259,3239,152.42,79.09,40.3,20.91,137.01,71.1,55.7,28.9,103.31,53.61,59.7,30.98,29.7,15.41,0,0,diamond
orange,rdizzlemcrizzle,Epic,b4b58e325fd44c98ada0e07d4ee8e541,23,Octane,194,407,3,0,0,5,2,2,1,60,440,39.83,1398,1103,295,13,25,194,62,132,1,11,13.49,31.4,426,196,37,1543,255677,93.9,49.13,61.34,32.09,35.89,18.78,133.14,69.66,57.99,30.34,0,0,2.01,0.09,23,82.8,85.4,2985,2374,3533,3239,150.64,78.82,40.49,21.18,118.28,61.88,72.85,38.12,83.16,43.51,73.4,38.4,34.57,18.09,0,0,diamond
blue,Swjat_HD,Steam,76561199021997757,4284,Fennec,352,404,2,0,0,3,3,2,1,66.67,281,41.4,1392,782,610,9,52,241,0,241,0,20,47.74,20.08,96,108,0,1296,424428,216.28,61.63,112.18,31.96,22.49,6.41,173.78,49.52,171.37,48.83,5.81,1.66,5.88,0.11,53,176.7,156.5,2111,1884,2282,2755,249.31,71.04,101.64,28.96,226.92,64.66,124.03,35.34,182.37,51.96,90.74,25.86,77.84,22.18,0,0,diamond
blue,pikminrr,Epic,5ed461137f2c4154b808195d9336b8be,4284,Fennec,352,400,1,1,1,3,3,2,1,33.33,428,47.59,2410,1877,533,22,46,586,390,196,5,17,57.5,24.88,335,333,109,1438,470138,176.85,50.3,135.46,38.53,39.28,11.17,210.15,59.77,137.1,39,4.33,1.23,5.05,0.12,43,157.1,175,2151,2007,2283,2755,250.79,71.33,100.8,28.67,228.45,64.99,123.04,35.01,170.87,48.6,102.9,29.27,77.82,22.13,0,0,diamond
orange,xX_Trabanthor_Xx,Epic,b784e67447084008acba93bc2683dea0,4284,Fennec,352,402,1,1,1,2,6,3,0,50,427,51.73,2365,1893,472,22,42,426,295,131,4,12,45.93,37.08,376,312,110,1494,492047,163.4,46.48,162.98,46.36,25.18,7.16,213.58,60.75,127.41,36.24,10.56,3,7.68,0.12,66,184.7,147,2395,2494,2303,3166,279.26,79.43,72.3,20.57,222.86,63.39,128.69,36.61,161.98,46.07,116.7,33.19,72.88,20.73,0,0,diamond
orange,GLX Charlie,Epic,64bfd34857b3408aacfd476889bb14f4,4284,Fennec,352,374,1,0,2,1,6,3,3,100,451,52.4,2515,1937,578,24,52,561,389,172,5,15,50.4,45.44,770,492,110,1558,512237,154.75,44.04,148.32,42.21,48.32,13.75,215.35,61.29,128.06,36.44,7.98,2.27,4.17,0.15,28,146.7,184.6,2413,2582,2199,3166,242.78,69.09,108.6,30.91,203.65,57.96,147.74,42.04,156.37,44.5,97.7,27.8,97.32,27.7,0,0,diamond
blue,zScopezSlayers--,PS4,zScopezSlayers--,23,Octane,384,645,2,0,4,3,9,3,1,66.67,335,49.11,2115,1421,694,18,63,375,214,161,3,16,52.07,19.01,282,386,93,1372,482858,203.36,54.24,149.51,39.88,22.07,5.89,218.79,58.35,145.7,38.86,10.45,2.79,8.78,0.14,63,166.4,204.5,2299,2273,2305,3293,260.04,69.36,114.9,30.64,236.14,62.98,138.8,37.02,191.6,51.1,94.22,25.13,89.12,23.77,0,3,diamond
blue,TheActivist69,PS4,TheActivist69,4284,Fennec,384,272,0,1,1,2,9,3,2,0,402,51.55,2489,1828,661,22,53,340,157,183,2,17,36.07,43.51,588,358,51,1527,546631,166.63,43.71,168.43,44.19,46.12,12.1,237.76,62.37,131.85,34.59,11.58,3.04,7.93,0.12,65,206.1,168.8,2675,2723,2625,3293,301.18,79.01,80.01,20.99,265.77,69.72,115.42,30.28,200.82,52.68,113.58,29.8,66.79,17.52,0,1,diamond
