color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Rmc tr3nt,XBox,bab3b130f3010900,4284,Fennec,406,633,4,0,0,4,8,6,4,100,412,48.54,2714,1956,758,23,70,674,453,221,5,19,86.38,39.49,501,377,46,1502,535654,196.5,48.97,160.17,39.91,44.61,11.12,255.31,63.62,136.67,34.06,9.3,2.32,1.23,0.14,9,180.7,239.3,2738,2830,2627,4136,270.78,67.48,130.51,32.52,263.42,65.64,137.87,34.36,196.08,48.86,120.39,30,84.83,21.14,3,0,gold
blue,fishy_rich,PS4,fishy_rich,21,Backfire,406,252,1,0,0,2,8,6,2,50,317,50.4,1554,1189,365,17,36,165,83,82,2,8,23.67,45.43,275,525,127,1239,370517,255.27,65.08,106.81,27.23,30.14,7.68,250.38,63.84,134.23,34.22,7.6,1.94,2.83,0.17,17,250,140.2,3365,3804,2749,4136,272.67,69.52,119.55,30.48,315.99,80.56,76.23,19.44,268.68,68.5,79.81,20.35,43.73,11.15,1,0,gold
orange,Messi_FE4R,Epic,18128d4da5c34d3ba593317dfe754532,8454,Admiral,406,707,5,0,0,5,6,5,2,100,302,43.6,1795,1253,542,15,47,168,0,168,0,14,52.11,32.41,250,57,0,1253,438751,248.85,63.12,128.02,32.47,17.36,4.4,277.97,70.51,112.96,28.65,3.3,0.84,0,0,0,175.1,193.1,2910,2836,2950,3447,323.98,82.18,70.25,17.82,291.72,74,102.52,26,221.08,56.08,126.07,31.98,47.08,11.94,0,3,gold
orange,Swicbr E8,XBox,53fb3df7f1010900,23,Octane,406,276,1,0,1,3,6,5,3,33.33,247,59.22,1911,1285,626,17,57,226,92,134,1,12,28.8,49.24,174,379,17,1308,467615,269.65,67.01,115.73,28.76,17.03,4.23,302.74,75.23,89.68,22.29,10,2.48,11.67,0.17,70,205.6,174.1,3021,3010,3041,3447,321.13,79.8,81.29,20.2,291.11,72.34,111.31,27.66,220.81,54.87,130.33,32.39,51.28,12.74,0,1,gold
blue,juanluugomez_13,PS4,juanluugomez_13,1018,Dominus GT,374,534,2,0,2,2,7,3,2,100,353,42.81,2168,1636,532,20,45,486,318,168,4,14,58.94,53.11,533,363,81,1342,460814,217.96,58.26,129.49,34.61,26.67,7.13,235.03,62.82,136.98,36.61,2.12,0.57,4.42,0.16,27,178.1,177.2,2142,2055,2281,2076,270.33,72.26,103.8,27.74,230.62,61.64,143.51,38.36,172.86,46.2,113.3,30.28,87.98,23.52,1,0,gold
blue,Roro6632,XBox,de9bb6c6fb010900,4284,Fennec,374,510,2,1,1,4,7,3,1,50,293,45.56,1714,1232,482,16,41,280,100,180,1,15,48.99,28.08,261,373,0,1273,433211,236.5,63.79,115.95,31.27,18.32,4.94,241.62,65.17,117.72,31.75,11.42,3.08,0,0,0,174.1,179.7,2037,1997,2148,2076,260.75,70.33,110.01,29.67,225.32,60.77,145.44,39.23,161.81,43.64,131.51,35.47,77.44,20.89,0,1,gold
orange,eikofr,Steam,76561198341973113,4284,Fennec,374,444,2,0,1,4,6,4,3,50,200,34.17,1126,594,532,7,46,199,0,199,0,18,42.53,29.58,144,53,0,1271,435432,257.47,68.81,100.54,26.87,16.15,4.32,244.58,65.37,127.07,33.96,2.51,0.67,7.34,0.33,22,178.4,178.8,2215,2211,2223,2383,273.28,73.04,100.88,26.96,232.41,62.12,141.75,37.88,157.95,42.21,133.99,35.81,82.22,21.97,1,0,gold
orange,roavlita is back,Epic,f45cfb745bf241038246dac373dc5681,23,Octane,374,352,1,2,1,3,6,4,1,33.33,210,40.95,1267,834,433,10,38,233,63,170,1,15,69.81,34.52,227,170,36,1239,418133,247.48,66.86,112.99,30.52,9.7,2.62,222.27,60.05,145.15,39.21,2.75,0.74,0.18,0.09,2,183,173.5,2343,2149,2455,2383,270.99,73.21,99.18,26.79,235.11,63.51,135.06,36.49,170.62,46.09,110.02,29.72,89.52,24.18,0,1,gold
blue,TanCormorant8490,PS4,TanCormorant8490,23,Octane,335,364,1,0,0,4,2,2,2,25,315,53.73,1808,1478,330,18,28,475,338,137,4,12,22.72,79.57,342,321,61,1419,450141,159.37,47.95,145.62,43.81,27.4,8.24,193.14,58.1,136.01,40.92,3.25,0.98,1.13,0.23,5,176.5,152.3,2174,2145,2140,2695,248.24,74.68,84.15,25.32,194.16,58.41,138.24,41.59,135.93,40.89,113.62,34.18,82.85,24.92,0,1,gold
blue,eikofr,Steam,76561198341973113,4284,Fennec,335,144,0,0,0,2,2,2,0,0,155,56.17,830,329,501,6,45,248,23,225,1,20,24.68,54.26,43,289,84,1232,390438,232.5,69.74,92.77,27.83,8.12,2.44,225.44,67.62,107.95,32.38,0,0,6.6,0.35,19,154.8,176.3,2131,2080,2107,2695,245.44,73.62,87.95,26.38,183.8,55.13,149.59,44.87,130.72,39.21,107.55,32.26,95.12,28.53,0,0,gold
