color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Man I just fr,Epic,6e75cc3353c247e785f2a7fb75e0557c,23,Octane,400,758,4,0,0,5,7,3,2,80,450,46.58,2859,2258,601,26,54,775,572,203,6,18,64.63,28.84,386,361,27,1616,594068,159.98,40.33,169.92,42.84,66.76,16.83,216.87,54.67,154.51,38.95,25.28,6.37,7.32,0.09,80,192.1,179,2668,2378,3012,3514,302.55,76.27,94.11,23.73,223.41,56.32,173.25,43.68,143.67,36.22,140.83,35.5,112.16,28.28,1,1,grand
blue,retigga23,Epic,1c63339d9b234a04a5251901dec70ed8,23,Octane,400,469,0,2,2,5,7,3,1,0,386,50.13,2591,1844,747,23,66,727,434,293,6,27,29.59,27.24,368,475,174,1639,607622,156.46,39.13,171.86,42.98,71.51,17.89,221.81,55.48,165.6,41.42,12.41,3.1,5.03,0.1,50,182.3,192.8,2507,2186,2848,3514,288.74,72.22,111.08,27.78,200.05,50.04,199.77,49.96,131.62,32.92,140.39,35.11,127.81,31.97,0,0,grand
orange,G6th,Epic,7459d63b4a9e438ab084abc973a14a99,23,Octane,400,706,2,0,5,4,10,4,3,50,373,53.42,2397,1589,808,20,77,357,187,170,2,17,43.5,65.95,143,383,19,1498,553579,194.98,48.77,149.97,37.51,54.84,13.72,227.9,57,157.02,39.27,14.88,3.72,6.32,0.09,72,192.2,184.3,2605,2208,2970,3381,271.4,67.88,128.4,32.12,306.31,76.62,93.48,23.38,224.34,56.11,128.57,32.16,46.88,11.73,1,0,grand
orange,corysizzle,Epic,1e52c2f7e1cf46968900b8b5c9604334,4284,Fennec,400,542,1,2,0,3,10,4,1,33.33,438,53.6,2751,2316,435,29,43,315,234,81,3,9,27.54,36.34,288,514,79,1550,564441,182.44,45.99,135.71,34.21,78.58,19.81,208.11,52.46,172.92,43.59,15.7,3.96,8.92,0.11,82,181.4,189.8,2428,2489,2395,3381,274.99,69.31,121.74,30.69,296.44,74.72,100.29,25.28,228.9,57.7,116.68,29.41,51.15,12.89,0,1,grand
blue,Rosiniho,Epic,a39482e3b4e44e18b5c5b5f8cb134b56,4284,Fennec,270,868,4,1,2,6,3,0,0,66.67,384,44.54,1710,1292,418,14,38,523,372,151,4,13,25.27,39.03,153,128,32,1421,348463,145.5,53.93,87.02,32.26,37.25,13.81,124.47,46.14,128.22,47.53,17.07,6.33,3.83,0.08,48,112.6,136.3,2339,2362,2382,2902,220.89,81.88,48.88,18.12,170.08,63.05,99.69,36.95,117.57,43.58,88.49,32.8,63.71,23.62,0,0,grand
blue,ili4ever,Epic,a83e865a744440d182d2b4c82c306afc,4284,Fennec,270,493,1,4,0,1,3,0,0,100,387,55.36,1865,1519,346,16,32,282,237,45,3,4,52.6,27.97,151,89,66,1486,367337,140.06,51.92,102.59,38.03,27.12,10.05,149.28,55.34,108.85,40.35,11.64,4.31,4.97,0.12,41,141.4,112.8,2452,2303,2573,2902,224,83.03,45.77,16.97,177.1,65.65,92.66,34.35,130,48.19,93.13,34.52,46.64,17.29,0,0,grand
orange,1user00221,Epic,9d8bf6bfccad4b87a1f26b4367ba1a58,4284,Fennec,270,220,0,0,0,3,7,5,2,0,524,49.41,2094,1778,316,20,25,773,657,116,8,7,40.44,26.31,293,221,142,1533,371169,120.76,45.21,113.86,42.62,32.51,12.17,132.53,49.61,108.96,40.79,25.64,9.6,3.2,0.09,35,98.1,154,1894,1285,2486,3218,166.28,62.25,100.85,37.75,165.81,62.07,101.32,37.93,123.39,46.19,68.79,25.75,74.94,28.05,0,0,grand
orange,billyscott06,Epic,35ca12979137496fa6d1b2c0ba24e50d,23,Octane,270,192,0,0,1,0,7,5,3,0,398,43.18,1789,1289,500,14,43,279,161,118,2,12,35.46,34.75,199,129,38,1526,377097,133.7,49.56,101.35,37.57,34.72,12.87,161.31,59.8,93.51,34.66,14.95,5.54,3.1,0.12,26,156.6,97.6,2749,2810,2677,3218,202.92,75.22,66.85,24.78,187.56,69.53,82.21,30.47,141.26,52.36,86.67,32.13,41.84,15.51,0,0,grand
blue,NaughtyClinch,Epic,6ab15d7bfa114e7c921cdd496ee9029b,4284,Fennec,358,550,2,0,3,3,9,4,2,66.67,348,45.04,1821,1173,648,13,57,284,100,184,1,16,65.2,21.86,178,127,0,1430,464271,189.5,53.96,133.19,37.92,28.52,8.12,198.14,56.42,134.59,38.32,18.47,5.26,5.99,0.11,54,167.1,177.3,2493,2097,2717,3691,257.15,73.22,94.05,26.78,230.89,65.74,120.32,34.26,164.12,46.73,115.57,32.91,71.52,20.36,1,2,grand
blue,Mark0nMars,Epic,d0607fbc930243679e7c490a7378ef4e,23,Octane,358,280,0,2,1,1,9,4,2,0,465,49.91,2858,2295,563,29,50,364,243,121,4,10,38.4,29.61,528,576,123,1696,546914,118.1,33.88,150.35,43.14,80.1,22.98,190.31,54.6,141.92,40.72,16.31,4.68,4.37,0.11,41,183.6,158.5,3056,3124,2985,3691,250.39,71.84,98.15,28.16,243.44,69.85,105.1,30.15,177.04,50.79,119.59,34.31,51.92,14.9,1,3,grand
orange,Fitz,Steam,76561198059004701,4284,Fennec,358,555,3,0,1,5,4,2,2,60,396,51.3,1993,1427,566,18,53,462,272,190,4,18,21.56,30.86,219,290,136,1486,483571,175.09,49.74,132.7,37.7,44.22,12.56,189.16,53.74,131.99,37.5,30.86,8.77,8.03,0.1,83,168,167.9,2201,2103,2239,3117,272.34,77.37,79.67,22.63,219.53,62.36,132.48,37.64,160.69,45.65,111.67,31.72,79.66,22.63,3,2,grand
