color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Miguel55CQ,PS4,Miguel55CQ,23,Octane,418,934,5,1,1,5,7,5,3,100,386,50.36,2617,2128,489,26,44,498,390,108,5,11,54.59,53.13,860,484,116,1521,566061,195.69,46.85,159.93,38.29,62.04,14.85,263.88,63.18,149.87,35.88,3.92,0.94,0.88,0.22,4,191.1,190.9,2626,2572,2682,3279,306.39,73.36,111.28,26.64,296.41,70.97,121.26,29.03,220.8,52.86,122.06,29.22,74.81,17.91,1,0,platinum
blue,Jesuus2603,PS4,Jesuus2603,23,Octane,418,229,1,0,0,1,7,5,2,100,360,41.81,2144,1535,609,19,54,220,33,187,1,16,55.29,43.44,197,343,66,1411,527711,235.07,56.29,148.98,35.67,33.56,8.04,263.82,63.18,143.7,34.41,10.07,2.41,4.54,0.12,38,195.6,191.2,2864,2663,3015,3279,304.31,72.87,113.29,27.13,290.48,69.56,127.12,30.44,231.85,55.52,120.31,28.81,65.43,15.67,0,0,platinum
orange,simsclark;Steam;76561198065821953;11534,simsclark,Steam,76561198065821953,11534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,platinum
orange,mattydomingo,PS4,mattydomingo,1416,Breakout Type-S,418,424,1,2,0,3,6,6,4,33.33,327,43.95,1872,1328,544,16,43,209,100,109,1,9,59.61,55.72,692,280,0,1404,516133,228.18,54.68,148.87,35.68,40.22,9.64,274.61,65.81,138.74,33.25,3.92,0.94,4.43,0.49,9,199.5,187.2,3317,3396,3212,3576,303.72,72.79,113.55,27.21,277.26,66.45,140.01,33.55,218.28,52.31,111.61,26.75,87.37,20.94,0,0,platinum
blue,Vonburgerl,XBox,7355074ef6010900,4284,Fennec,208,298,1,1,1,2,1,0,0,50,362,45.2,1280,1017,263,12,22,304,172,132,2,11,49.36,23.73,30,184,27,1373,268256,119.75,58.8,68.82,33.79,15.1,7.41,120.21,59.02,74.18,36.42,9.27,4.55,2.58,0.13,20,105.6,94.9,2071,1864,2239,3009,163.55,80.3,40.12,19.7,98.19,48.21,105.48,51.79,57.09,28.03,82.54,40.53,64.03,31.44,1,1,platinum
blue,DaUsoChaz,XBox,0b45537df8010900,23,Octane,208,278,1,1,0,2,1,0,0,50,355,56.52,1182,755,427,9,33,412,183,229,3,16,19.01,26.54,76,170,141,1485,296516,104.68,50.33,79.94,38.43,23.38,11.24,132.66,63.78,73.74,35.45,1.6,0.77,5.15,0.2,26,99.8,105.8,2501,2336,2580,3009,156.51,75.25,51.49,24.75,87.9,42.26,120.1,57.74,64.64,31.08,65.28,31.38,78.08,37.54,1,0,platinum
orange,fladoodel,Epic,466617c0b99f4ca6969e794876b0d1b0,403,Dominus,208,190,0,0,1,1,4,2,2,0,397,57.64,1321,1112,209,15,21,415,343,72,5,8,7.62,58.33,183,248,76,1440,281573,106.06,52.21,73.51,36.19,23.56,11.6,110.2,54.25,86.73,42.69,6.21,3.06,2.66,0.09,30,73.5,135.6,2157,1885,2419,2755,126.7,62.37,76.43,37.63,141.07,69.45,62.06,30.55,110.16,54.23,57.97,28.54,35,17.23,0,1,platinum
orange,Xx strayz xX,XBox,7f81110100000900,23,Octane,208,90,0,0,1,0,4,2,0,0,248,48.21,798,540,258,6,22,80,45,35,1,3,6.39,13.99,215,59,54,1188,225859,139.45,69.71,45.53,22.76,15.07,7.53,146.47,73.22,53.58,26.78,0,0,4.14,0.46,9,135.8,64.9,2337,2642,2088,2755,149.48,74.72,50.57,25.28,165.27,82.61,34.78,17.39,133.76,66.86,47.03,23.51,19.26,9.63,1,1,platinum
blue,Getoffmymeaf,XBox,34c04fdffa010900,23,Octane,392,539,3,0,0,4,6,5,3,75,351,54,2302,1863,439,21,38,730,587,143,6,12,29.62,63.14,301,241,12,1437,508780,202.74,51.75,148.93,38.01,40.12,10.24,237.87,60.72,142.17,36.29,11.74,3,4.21,0.42,10,227.6,141.5,2803,2912,2696,3421,310.96,79.37,80.83,20.63,271.65,69.34,120.13,30.66,213.17,54.41,107.12,27.34,71.49,18.25,0,0,platinum
blue,yBBydddy,Epic,45d193d4073742398fc62554787f6908,23,Octane,392,372,1,2,1,2,6,5,2,50,434,46.95,2676,2213,463,26,42,738,589,149,7,13,39.33,26.92,189,386,110,1360,480627,216.67,55.3,156.98,40.06,18.18,4.64,221.53,56.54,155.42,39.67,14.86,3.79,5.31,0.14,39,142.1,226.9,2151,1944,2352,3421,284.68,72.66,107.14,27.34,251.34,64.15,140.48,35.85,170.22,43.44,139.87,35.7,81.72,20.86,2,0,platinum
