color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,GoofysPipe,PS4,GoofysPipe,10901,Shokunin GXT,398,968,5,0,1,7,8,4,2,71.43,395,50.22,2523,1991,532,25,46,521,258,263,4,23,36.75,43.12,218,522,147,1437,516134,207.9,52.31,149.05,37.5,40.5,10.19,219.17,55.14,164.24,41.32,14.05,3.53,4.53,0.16,29,165.9,203,2137,1919,2429,2795,295.77,74.42,101.68,25.58,234.61,59.03,162.84,40.97,169.32,42.6,120.56,30.33,107.58,27.07,2,0,silver
blue,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,398,465,0,3,4,0,8,4,2,0,272,39.95,1636,657,979,8,85,371,187,184,2,17,52.79,13.25,31,144,20,1270,451224,258.76,65.28,117.34,29.6,20.31,5.12,274.36,69.21,121.64,30.69,0.41,0.1,6.28,0.17,37,203.5,164.4,2581,2582,2550,2795,287.97,72.64,108.44,27.36,249.26,62.88,147.14,37.12,160.43,40.47,152.14,38.38,83.84,21.15,0,0,silver
orange,Jordan,Psynet,5650b0742c1c7005,4284,Fennec,398,508,2,1,2,4,7,5,3,50,276,61.39,1832,1136,696,18,54,353,158,195,4,17,37.5,61.67,231,693,250,1301,428250,259.91,65.45,114.28,28.78,22.95,5.78,290.78,73.22,97.03,24.43,9.34,2.35,0.45,0.45,1,172.8,204.8,2170,2081,2299,2682,285.77,71.96,111.37,28.04,278.65,70.16,118.5,29.84,223.44,56.26,104.76,26.38,68.95,17.36,0,0,silver
orange,mikeybtw.,Epic,4e91368b1d4047fdbae26f21c7778c0d,4284,Fennec,398,448,2,1,0,4,7,5,2,50,365,42.47,2177,1691,486,22,42,293,100,193,1,16,81.39,28.92,700,516,0,1386,483638,211.24,54.37,145.94,37.57,31.31,8.06,247.45,63.69,136.45,35.12,4.6,1.18,0,0,0,241.3,165.4,2318,2062,2519,2682,312.71,80.49,75.79,19.51,282.61,72.75,105.88,27.25,230.99,59.46,105.39,27.13,52.12,13.42,0,2,silver
blue,ShiGuyGaming,Epic,256138a0b6934365a156f32159eacda9,4284,Fennec,335,298,1,0,1,2,6,2,0,50,223,26.81,1283,558,725,6,61,372,100,272,1,23,94.75,27.54,56,46,5,1379,434372,207.97,62.6,108.54,32.67,15.69,4.72,223.73,67.35,97.36,29.31,11.1,3.34,1.67,0.28,6,152.4,179.5,2040,1667,2344,2692,188.46,56.73,143.73,43.27,205.59,61.89,126.6,38.11,139.18,41.9,121.77,36.66,71.24,21.45,1,1,silver
blue,C.Reach_Around,Epic,12d18acb686a402caec3a5a1cc0aee22,4284,Fennec,335,230,0,1,1,2,6,2,2,0,338,33.3,1698,907,791,12,61,418,155,263,2,15,75.61,18.58,253,248,0,1380,429423,189.42,57.02,122.99,37.02,19.79,5.96,204.02,61.41,124.5,37.48,3.68,1.11,8.57,0.13,66,185.1,145.8,2264,1961,2521,2692,211.08,63.54,121.12,36.46,219.98,66.22,112.22,33.78,166.62,50.16,94.54,28.46,71.05,21.39,0,1,silver
orange,FoRcE_Sanpi,PS4,FoRcE_Sanpi,23,Octane,335,364,1,1,1,3,4,1,0,33.33,257,55.59,1350,1053,297,15,27,514,421,93,6,9,43.28,54.79,318,371,90,1332,423599,202.46,60.41,116.5,34.76,16.17,4.82,219.64,65.54,105.04,31.34,10.45,3.12,0.21,0.21,1,134.2,203,1699,1691,1705,2513,235.63,70.31,99.5,29.69,173.84,51.87,161.29,48.13,122.82,36.65,103.03,30.74,109.28,32.61,2,0,silver
orange,**************,Epic,6a742635e82d448695ebf38327cdd97b,403,Dominus,335,304,1,0,1,3,4,1,1,33.33,355,55.81,1954,1634,320,21,29,554,434,120,5,11,25.77,90.14,291,489,75,1345,416299,188.68,57.02,117.9,35.63,24.33,7.35,233.52,70.57,90.98,27.49,6.4,1.93,5.62,0.26,22,199.7,128.1,2393,2240,2557,2513,254.42,76.88,76.49,23.12,193.98,58.62,136.92,41.38,137.38,41.52,112.43,33.98,81.09,24.51,0,1,silver
blue,Smillie4554,XBox,181c65c0f6010900,4284,Fennec,274,627,3,1,1,4,4,2,0,75,392,52.93,1666,1351,315,18,27,214,118,96,3,8,34.09,32.24,597,457,181,1420,342910,143.67,53.55,94.42,35.19,30.2,11.26,157.9,58.85,98.5,36.71,11.89,4.43,3.68,0.22,17,111.3,136.8,1991,1595,2415,2233,196.53,73.25,71.77,26.75,189.16,70.51,79.13,29.49,141.94,52.91,70.12,26.14,56.23,20.96,2,0,silver
blue,pitayo,Psynet,a2286d520b47cca8,23,Octane,274,433,2,1,1,3,4,2,2,66.67,294,54.04,1344,968,376,11,35,239,85,154,1,14,20.15,14.62,229,146,22,1331,329148,162.05,59.24,95.91,35.06,15.59,5.7,185.66,67.87,82.88,30.3,5.01,1.83,0.59,0.15,4,137.2,116.4,2189,2240,2017,2233,208.21,76.11,65.34,23.89,188.98,69.09,84.56,30.91,155.25,56.76,65.1,23.8,53.18,19.44,0,0,silver
