color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Platinum-Geo,Epic,e7f863e094f1496d8de59c1889d246fc,4284,Fennec,365,1049,5,0,1,12,3,1,0,41.67,281,49.68,1722,1074,648,17,56,761,361,400,5,35,19.86,40.88,404,630,143,1426,479789,190.88,52.4,146.05,40.09,27.35,7.51,228.91,62.84,129.8,35.63,5.57,1.53,6.51,0.19,35,158.7,187.5,1715,1590,1867,2625,252.76,69.39,111.52,30.61,158.24,43.44,206.04,56.56,121.85,33.45,87.25,23.95,155.18,42.6,0,0,gold
blue,Caleb_HMS;Steam;76561198127696401;12105,Caleb_HMS,Steam,76561198127696401,12105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
orange,josx7_xs,Epic,7990d3458581446aac9e6ba9e652bf6a,23,Octane,365,595,0,1,4,2,14,5,3,0,209,56.42,1417,1123,294,16,25,367,200,167,2,14,20.88,128.93,367,402,0,1207,380385,245.89,68.05,86.59,23.96,28.88,7.99,227.36,62.92,124.48,34.45,9.53,2.64,2.44,0.81,3,282.4,253,2590,1856,3031,2760,274.87,76.06,86.5,23.94,272.29,75.35,89.07,24.65,244.11,67.55,51.12,14.15,66.14,18.3,0,1,gold
orange,dans0823,PS4,dans0823,23,Octane,365,182,1,0,0,1,14,5,2,100,225,40.19,679,399,280,5,24,242,164,78,2,7,18.49,18.12,100,104,35,1293,211350,146.79,66.11,71.51,32.2,3.75,1.69,165.82,74.68,53.54,24.11,2.69,1.21,0.37,0.18,2,223.6,132.8,2352,2055,2532,2760,143.66,64.7,78.39,35.3,141.96,63.93,80.09,36.07,113.9,51.3,54.76,24.66,53.38,24.04,1,0,gold
blue,lulubru18,PS4,lulubru18,403,Dominus,109,80,0,0,0,0,1,1,0,0,464,44.06,891,720,171,8,15,112,100,12,1,1,25.12,15.28,124,80,0,1409,142274,60.12,54.99,41.61,38.06,7.59,6.94,61.99,56.71,43.28,39.59,4.04,3.7,1.81,0.6,3,82.8,81.2,2029,1919,2139,3041,77.31,70.72,32.01,29.28,87.2,79.77,22.11,20.23,71.25,65.18,28.93,26.46,9.14,8.36,0,0,gold
blue,Fyshi_daca83,Epic,aeffde7dcec54f66a6233db9a4e988c9,403,Dominus,109,26,0,0,0,0,1,1,1,0,239,52.29,144,30,114,1,10,12,0,12,0,1,1.27,1.99,70,74,0,1288,52581,28.54,64.48,14.46,32.67,1.26,2.85,30.19,68.2,14.08,31.8,0,0,0,0,0,19.7,21.2,1816,1716,1687,3041,26.5,59.87,17.76,40.13,34.66,78.29,9.61,21.71,25.46,57.52,16.94,38.27,1.86,4.2,1,0,gold
orange,Kosmokz,Epic,04e614cdcaa6449b966cf22f24703c59,23,Octane,109,188,1,0,0,1,0,0,0,100,213,28.79,416,284,132,3,11,277,193,84,2,7,27.1,14.92,14,15,6,1211,122987,81.9,74.89,26.05,23.82,1.41,1.29,75.1,68.68,33.55,30.68,0.7,0.64,0,0,0,44.7,61.8,1643,1528,1705,2936,89.85,82.17,19.5,17.83,35.87,32.8,73.48,67.2,24.2,22.13,34,31.09,51.15,46.78,0,0,gold
orange,Antonio12-grinta,PS4,Antonio12-grinta,4284,Fennec,109,36,0,0,0,0,0,0,0,0,426,51.81,774,655,119,7,10,70,0,70,0,6,17.47,8.29,100,44,0,1485,146650,49.24,46.34,43.41,40.85,13.61,12.81,55.98,52.68,45.98,43.27,4.3,4.05,1.35,0.09,15,60.9,41.8,2836,3407,2121,2936,85.8,80.75,20.46,19.25,54.32,51.12,51.94,48.88,28.2,26.54,47.74,44.93,30.32,28.53,0,1,gold
blue,Platinum-Geo,Epic,e7f863e094f1496d8de59c1889d246fc,4284,Fennec,362,645,3,1,1,3,5,2,0,100,213,50.5,1320,909,411,12,37,552,381,171,5,15,31.81,37.82,233,207,106,1373,444568,211.6,59.51,117.12,32.94,26.83,7.55,225.91,63.54,125.86,35.4,3.78,1.06,5.39,0.15,35,158.6,195.1,1911,1927,1902,2598,242.58,68.23,112.97,31.77,205.72,57.86,149.82,42.14,146.58,41.23,102.5,28.83,106.47,29.95,0,2,gold
blue,Caleb_HMS;Steam;76561198127696401;12105,Caleb_HMS,Steam,76561198127696401,12105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold
