color,player name,platform,player id,car id,car name,game duration,score,goals,assists,saves,shots,shots conceded,goals conceded,goals conceded while last defender,shooting percentage,bpm,avg boost amount,amount collected,amount collected big pads,amount collected small pads,count collected big pads,count collected small pads,amount stolen,amount stolen big pads,amount stolen small pads,count stolen big pads,count stolen small pads,0 boost time,100 boost time,amount used while supersonic,amount overfill total,amount overfill stolen,avg speed,total distance,time slow speed,percentage slow speed,time boost speed,percentage boost speed,time supersonic speed,percentage supersonic speed,time on ground,percentage on ground,time low in air,percentage low in air,time high in air,percentage high in air,time powerslide,avg powerslide time,count powerslide,time most back,time most forward,avg distance to ball,avg distance to ball has possession,avg distance to ball no possession,avg distance to team mates,time behind ball,percentage behind ball,time in front of ball,percentage in front of ball,time defensive half,percentage defensive half,time offensive half,percentage offensive half,time defensive third,percentage defensive third,time neutral third,percentage neutral third,time offensive third,percentage offensive third,demos inflicted,demos taken,rank
blue,Lunix,Steam,76561198249254408,4284,Fennec,371,877,3,0,4,8,10,3,3,37.5,431,48.49,2542,1761,781,25,69,532,271,261,4,23,22.47,31.43,558,756,128,1587,540778,156.82,42.35,153.54,41.46,59.95,16.19,225.19,60.81,124.92,33.73,20.2,5.45,5.34,0.1,55,194.6,153.6,2131,1988,2286,2870,257.67,69.58,112.64,30.42,252.51,68.19,117.79,31.81,201.31,54.36,92.76,25.05,76.23,20.59,1,0,supersonic
blue,boacito.,Steam,76561199057556488,4284,Fennec,371,570,1,0,1,4,10,3,0,25,467,50.61,2924,2295,629,30,57,974,755,219,8,20,59.58,25.28,248,568,12,1642,559355,149.49,40.35,141.23,38.12,79.8,21.54,180.79,48.79,162.4,43.83,27.32,7.37,9.12,0.09,103,153,190.1,2283,1994,2628,2870,240.47,64.9,130.04,35.1,233.15,62.93,137.36,37.07,190.09,51.3,90.72,24.49,89.7,24.21,4,0,supersonic
orange,ha_med3456,Epic,03eb951ca7e84c10989b034447dffc77,23,Octane,371,791,3,0,3,8,12,4,1,37.5,384,40.99,2083,1560,523,18,46,643,411,232,5,20,2.32,23.24,165,250,93,1634,551175,132.69,36.13,186.15,50.68,48.46,13.19,187.65,51.09,150.73,41.04,28.91,7.87,6.38,0.06,115,175.4,188.4,2441,1866,2938,2968,270.34,73.6,96.95,26.4,194.71,53.01,172.58,46.99,145.18,39.53,99.33,27.04,122.78,33.43,0,1,supersonic
orange,ha_med3456(1),Epic,03eb951ca7e84c10989b034447dffc77,23,Octane,371,613,0,3,3,2,12,4,3,0,340,40.07,1630,1186,444,14,41,312,180,132,2,12,7.33,17.57,227,247,22,1645,542097,139.27,38.87,159.8,44.6,59.2,16.52,182.91,51.05,160.78,44.88,14.59,4.07,7.32,0.06,128,191.4,155,2378,2320,2431,2968,284.83,79.5,73.44,20.5,214.14,59.77,144.13,40.23,160.73,44.86,101.02,28.2,96.52,26.94,0,4,supersonic
blue,Kay.,Steam,76561198994022567,4284,Fennec,62,104,0,0,2,0,5,4,3,0,131,40.57,96,0,96,0,8,0,0,0,0,0,0,0,0,0,0,1294,36083,33.99,63.1,9.46,17.56,10.42,19.34,38.76,71.95,15.11,28.05,0,0,0.9,0.15,6,34.1,38.6,2546,2444,2426,1181,30.62,56.84,23.25,43.16,52.94,98.27,0.93,1.73,49.77,92.39,4.1,7.61,0,0,0,0,supersonic
blue,MinLoX,Steam,76561198858425076,4284,Fennec,62,0,0,0,0,0,5,4,1,0,0,35.36,12,0,12,0,1,0,0,0,0,0,0,0,0,0,0,895,8303,24.92,68.63,3.39,9.34,8,22.03,31.98,88.07,4.33,11.93,0,0,0,0,0,37.1,25.1,2530,2256,2648,1181,11.85,32.64,24.46,67.36,36.31,100,0,0,34.91,96.14,1.4,3.86,0,0,0,0,supersonic
orange,RGL.szn,Epic,223749b850f14061b0f78cb33f4b7b25,23,Octane,62,439,3,1,0,3,0,0,0,100,365,25.22,243,196,47,2,4,96,96,0,1,0,0.6,0.93,70,3,3,1421,62329,38.66,61.96,19.93,31.94,3.81,6.11,39.44,63.21,18.88,30.26,4.08,6.54,0.7,0.06,11,17.9,26.3,2034,2190,1641,2287,59.1,94.71,3.3,5.29,33.91,54.34,28.49,45.66,27.77,44.5,11.37,18.22,23.26,37.28,0,0,supersonic
orange,6767 ,Epic,4c706a6ee82b4aefa44b36669a0e680f,23,Octane,62,234,1,2,0,2,0,0,0,50,311,34.2,304,200,104,2,9,224,200,24,2,2,8.17,0.9,0,0,0,1455,63392,37.35,59.82,21.22,33.98,3.87,6.2,41.59,66.62,20.01,32.05,0.83,1.33,0.43,0.11,4,26.5,17.8,2575,2472,2849,2287,61.17,97.97,1.27,2.03,35.4,56.7,27.03,43.3,27.97,44.8,16.52,26.46,17.95,28.75,0,0,supersonic
blue,Mercury,Steam,76561199015584092,4284,Fennec,378,791,2,1,4,4,9,3,1,50,455,45.98,2649,2031,618,23,57,705,562,143,6,13,65.27,63.34,285,296,41,1565,540485,157.72,42.03,161.5,43.03,56.07,14.94,200.27,53.36,160.34,42.72,14.68,3.91,8.07,0.11,71,155.5,197.4,2484,2068,2844,3117,271.34,72.3,103.96,27.7,243.29,64.83,132,35.17,177.23,47.22,130.25,34.71,67.81,18.07,0,1,supersonic
blue,Scrafinha,Steam,76561198405892872,4284,Fennec,378,504,2,1,1,4,9,3,2,50,366,50.68,2237,1701,536,21,52,195,85,110,1,11,37.01,55.74,171,348,23,1583,547365,157.95,42.07,162.58,43.31,54.89,14.62,205.68,54.79,153.88,40.99,15.86,4.22,6.73,0.14,48,200.3,151.1,2351,2265,2432,3117,291.59,77.67,83.83,22.33,270.55,72.06,104.88,27.94,196.16,52.25,122.32,32.58,56.95,15.17,0,1,supersonic
