replay_id,playlist,rank,color;team name;player name;platform;player id;car id;car name;game duration;score;goals;assists;saves;shots;shots conceded;goals conceded;goals conceded while last defender;shooting percentage;bpm;avg boost amount;amount collected;amount collected big pads;amount collected small pads;count collected big pads;count collected small pads;amount stolen;amount stolen big pads;amount stolen small pads;count stolen big pads;count stolen small pads;0 boost time;100 boost time;amount used while supersonic;amount overfill total;amount overfill stolen;avg speed;total distance;time slow speed;percentage slow speed;time boost speed;percentage boost speed;time supersonic speed;percentage supersonic speed;time on ground;percentage on ground;time low in air;percentage low in air;time high in air;percentage high in air;time powerslide;avg powerslide time;count powerslide;time most back;time most forward;avg distance to ball;avg distance to ball has possession;avg distance to ball no possession;avg distance to team mates;time behind ball;percentage behind ball;time in front of ball;percentage in front of ball;time defensive half;percentage defensive half;time offensive half;percentage offensive half;time defensive third;percentage defensive third;time neutral third;percentage neutral third;time offensive third;percentage offensive third;demos inflicted;demos taken
055ba53e-a3ac-4e9d-9b39-a55bbab18411,ranked-doubles,bronze-1,blue;;Lai on laptop;Epic;fcc5ab25eeb245faaf4da8d7f0023fd1;402;Takumi;327;509;3;0;0;2;1;1;1;150;185;30.28;805;525;280;6;24;76;0;76;0;7;168.11;8.56;244;74;0;1331;409530;199.35;61.58;108.23;33.43;16.13;4.98;187.18;57.82;128.54;39.71;8;2.47;4.92;0.45;11;177.2;142.3;2192;1955;2402;2241;214.11;66.14;109.6;33.86;188.31;58.17;135.41;41.83;144.04;44.5;99.89;30.86;79.79;24.65;1;1
055ba53e-a3ac-4e9d-9b39-a55bbab18411,ranked-doubles,bronze-1,blue;;PHAKO_him;Epic;b764e2e381344ae9a7a4edbd935c61bb;3451;Nimbus;327;264;0;2;0;3;1;1;0;0;276;23.75;1291;734;557;8;47;329;146;183;2;16;83.21;42.24;329;68;56;1380;422658;192.83;60.02;101.78;31.68;26.66;8.3;204.65;63.7;107.49;33.46;9.12;2.84;0.24;0.24;1;143.4;174.5;1860;1571;1971;2241;202.05;62.89;119.22;37.11;191.3;59.55;129.96;40.45;141.4;44.01;93.14;28.99;86.73;27;0;1
055ba53e-a3ac-4e9d-9b39-a55bbab18411,ranked-doubles,bronze-1,orange;;minion-mewing;PS4;minion-mewing;403;Dominus;327;278;1;0;0;1;5;3;2;100;483;44.87;2675;2381;294;26;25;423;363;60;4;5;85.38;58.68;1255;227;36;1407;435519;167.6;51.28;116.24;35.57;42.97;13.15;221.35;67.73;95.67;29.27;9.79;3;0.59;0.29;2;143.7;174.9;1926;1622;2130;2338;210.74;64.48;116.07;35.52;192.56;58.92;134.24;41.08;138.28;42.31;91.96;28.14;96.57;29.55;2;0
055ba53e-a3ac-4e9d-9b39-a55bbab18411,ranked-doubles,bronze-1,orange;;Orangesig32;Epic;1e9b7c9e60e6404786a7ba56d9bbad52;4284;Fennec;327;172;0;0;1;0;5;3;1;0;232;25.04;1024;640;384;8;33;298;100;198;1;17;169.81;5.86;160;0;0;1212;371399;215.6;66.6;92.11;28.46;15.99;4.94;203.98;63.02;114.32;35.32;5.39;1.67;1.55;1.55;1;175.5;140.7;1996;1970;2005;2338;206.71;63.86;116.98;36.14;183.68;56.74;140.02;43.26;133.94;41.38;100.57;31.07;89.19;27.55;0;1
2b53d86c-6e63-4e35-a412-075ff4102565,ranked-doubles,bronze-1,blue;;Talented110;PS4;Talented110;23;Octane;107;124;0;1;0;2;0;0;0;0;312;46.85;603;400;203;4;18;267;100;167;1;14;23.15;12.16;65;1;1;1353;134074;56.16;52.24;46.46;43.22;4.88;4.54;66.67;62.02;37.89;35.25;2.94;2.73;1.75;0.44;4;41.7;63.5;2162;2117;2238;3996;91.21;84.84;16.3;15.16;51.06;47.49;56.45;52.51;33.12;30.81;30.08;27.98;44.31;41.21;0;0
2b53d86c-6e63-4e35-a412-075ff4102565,ranked-doubles,bronze-1,blue;;top-suburb83;PS4;top-suburb83;403;Dominus;107;124;1;0;0;1;0;0;0;100;297;44.32;499;415;84;5;7;12;0;12;0;1;26.55;8.07;216;84;0;1312;126263;72.94;69.8;20.7;19.81;10.86;10.39;85.23;81.55;16.48;15.77;2.8;2.68;0.72;0.18;4;63.4;38.8;3655;4037;3391;3996;85.49;81.81;19.01;18.19;61.15;58.52;43.35;41.48;44.2;42.29;35.54;34.01;24.77;23.7;0;1
2b53d86c-6e63-4e35-a412-075ff4102565,ranked-doubles,bronze-1,orange;;60 70;Epic;67e1a297b0ac4f9bb39bb6243d9ec954;23;Octane;107;78;0;0;1;0;3;1;1;0;252;50.59;502;425;77;7;7;12;0;12;0;1;1.39;11.41;6;135;0;1168;109331;82.29;76.74;23.8;22.2;1.14;1.06;75.66;70.57;29.56;27.57;2;1.87;0.55;0.18;3;88.5;62.6;1663;1040;2016;4300;74.41;69.39;32.82;30.61;87.38;81.5;19.84;18.5;77.13;71.92;21.58;20.12;8.53;7.95;0;0
2b53d86c-6e63-4e35-a412-075ff4102565,ranked-doubles,bronze-1,orange;;60 70(1);Epic;67e1a297b0ac4f9bb39bb6243d9ec954;23;Octane;107;2;0;0;0;0;3;1;0;0;23;35.23;95;95;0;1;0;0;0;0;0;0;0;0;14;4;0;1058;51544;82.16;87.12;11.5;12.19;0.65;0.69;68.45;72.58;19.17;20.33;6.69;7.09;0;0;0;37.4;63.7;3722;3446;3808;4300;35.99;38.17;58.31;61.83;82.69;87.69;11.61;12.31;72.61;77;18.08;19.17;3.61;3.83;1;0
3a371ff8-84c4-46aa-86d3-7f750e1ae64b,ranked-doubles,bronze-1,blue;;theTacocat88;Epic;899909ba9ee64010a0f0eecfec288d36;23;Octane;389;648;4;0;1;4;7;5;3;100;266;47.01;1625;1181;444;13;39;353;200;153;2;13;86.87;29.83;329;101;0;1410;485906;213.22;55.34;137.92;35.8;34.15;8.86;217.81;56.53;160.91;41.76;6.57;1.71;4.8;0.34;14;210.4;149.6;2482;2375;2671;2877;297.37;77.18;87.92;22.82;232.43;60.33;152.86;39.67;164.33;42.65;126.17;32.75;94.79;24.6;0;1
3a371ff8-84c4-46aa-86d3-7f750e1ae64b,ranked-doubles,bronze-1,blue;;EthanRenz19;PS4;EthanRenz19;4284;Fennec;389;196;0;2;0;1;7;5;2;0;227;51.15;1707;1282;425;19;38;497;326;171;6;15;19.96;69.33;522;627;282;1293;453525;248.23;63.92;113.44;29.21;26.66;6.87;265.25;68.3;110.38;28.42;12.71;3.27;0;0;0;152.5;209.2;2758;2380;3370;2877;262.28;67.54;126.05;32.46;204.98;52.78;183.36;47.22;159.78;41.14;89.46;23.04;139.1;35.82;2;0
